category,foods,source_type,kcal/100gr,Crude Protein (gr) ,Arginine (gr),Histidine (gr),Isoleucine (gr),Methionine (gr),Methionine + Cystine (gr),Leucine (gr),Lysine (gr),Phenylalanine (gr),Phenylalanine & Tyrosine (gr),Threonine (gr),Tryptophan (gr),Valine (gr),Glutamic Acid (gr),Taurine (gr),Total Fat (gr),Linoleic Acid n-6 (gr),a-Linolenic Acid n-3 (gr),Linoleic Acid / a-Linolenic Acid,Arachidonic Acid (gr),Eicosapentaenoic & Docosahexaenoic n-3 (gr),EPA / DPA,Calcium (gr),Phosphorus (gr),Magnesium (mg),Sodium (mg),Potassium (gr),Chloride (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (mcg),Iodine (mcg),Vitamin A (RE) (mcg of all trans-retinol),Vitamin A (UI),Cholecalciferol (Vit D) (mcg),Vitamin D3 (IU),Vitamin E (a-tocopherol) (mg=IU),Vitamin K (Menadion) (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Pyridoxine (B6) (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Cobalamin (B12) (mcg),Folic Acid (B9) (mcg),Biotin (B7) (mg),Choline (B4) (mg),Glucose (gr),Sucrose (gr),Lactose (gr),Cellulose (gr),TDF (gr),Cystine (gr),Tyrosine (gr),DM%,Moisture%,Ash (gr)
گوشت قرمز,گوشت گاو چرخ کرده پخته ۸۵ درصد,home,230,25.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,14.0,0.3,0.05,5.999999999999999,0.05,0.02,,12,180,20,70,280,60,2.5,0.08,5.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.04,0.18,0.35,5.0,0.5,2.0,7,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,58,42,1.0
گوشت قرمز,گوشت گاو چرخ کرده پخته ۹۰ درصد,home,196,27.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,9.0,0.3,0.05,5.999999999999999,0.05,0.02,,11,200,22,65,300,60,2.6,0.08,5.2,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.19,0.38,5.2,0.5,2.1,8,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,62,38,1.1
گوشت قرمز,گوشت گاو چرخ کرده پخته ۹۵ درصد,home,164,28.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,5.5,0.3,0.05,5.999999999999999,0.05,0.02,,12,210,23,60,310,60,2.7,0.08,5.4,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.2,0.4,5.4,0.5,2.2,8,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,65,35,1.1
گوشت قرمز,گوشت گوساله ران پخته,home,160,30.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,3.5,0.3,0.05,5.999999999999999,0.05,0.02,,13,230,24,58,340,60,2.7,0.08,4.6,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.06,0.25,0.42,6.2,0.5,1.9,9,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,65,35,1.1
گوشت قرمز,گوشت گوساله پخته,home,172,30.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,5.0,0.3,0.05,5.999999999999999,0.05,0.02,,13,230,24,58,340,60,2.6,0.08,4.5,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.06,0.25,0.4,6.0,0.5,1.8,9,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,64,36,1.1
گوشت قرمز,گوشت گوسفند ران پخته,home,250,26.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,15.5,0.3,0.05,5.999999999999999,0.05,0.02,,14,185,22,62,280,60,1.9,0.08,4.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.07,0.2,0.17,5.5,0.5,2.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,56,44,1.0
گوشت قرمز,گوشت گوسفند شانه پخته,home,270,24.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,18.5,0.3,0.05,5.999999999999999,0.05,0.02,,13,175,20,65,260,60,1.8,0.08,3.8,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.07,0.19,0.16,5.2,0.5,2.2,5,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,54,46,1.0
گوشت قرمز,گوشت گوسفند پخته,home,258,25.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,17.0,0.3,0.05,5.999999999999999,0.05,0.02,,15,185,22,65,280,60,1.9,0.08,4.2,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.08,0.22,0.18,5.8,0.5,2.4,6,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,55,45,1.0
مرغ و بوقلمون,بال مرغ بدون پوست پخته,home,170,28.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,5.5,0.6,0.03,20.0,0.06,0.03,,14,170,21,75,210,70,1.0,0.05,1.7,0.02,25.0,2,8.333333333333334,25,0.1,4,0.3,0.002,0.06,0.14,0.33,6.0,1.0,0.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,65,35,1.0
مرغ و بوقلمون,بال مرغ پخته,home,203,30.5,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,8.1,0.6,0.03,20.0,0.06,0.03,,15,160,20,80,200,70,1.0,0.05,1.8,0.02,25.0,2,13.333333333333334,40,0.1,4,0.3,0.002,0.06,0.15,0.35,6.5,1.0,0.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,60,40,1.0
مرغ و بوقلمون,جگر بوقلمون پخته,home,189,25.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,8.0,0.5,0.05,10.0,0.3,0.1,,12,380,22,75,240,80,8.0,5.0,3.5,0.3,40.0,10,4000.0,12000,1.0,40,0.5,0.003,0.18,1.7,0.75,9.0,6.0,15.0,500,50,300,0.0,0.0,0.0,0.0,0.0,0.3,0.8,64,36,1.3
مرغ و بوقلمون,ران بوقلمون پخته,home,170,28.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.1,6.0,0.6,0.03,20.0,0.06,0.03,,14,200,25,60,240,70,1.3,0.05,2.2,0.02,25.0,2,6.666666666666667,20,0.1,4,0.3,0.002,0.05,0.18,0.4,5.8,1.0,0.4,6,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,64,36,1.1
مرغ و بوقلمون,ران مرغ با پوست پخته,home,232,24.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.1,14.5,0.6,0.03,20.0,0.06,0.03,,12,170,20,80,210,70,1.1,0.05,1.8,0.02,25.0,2,26.666666666666668,80,0.1,4,0.3,0.002,0.08,0.18,0.35,6.0,1.0,0.3,6,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,60,40,0.9
مرغ و بوقلمون,ران مرغ بدون پوست پخته,home,179,27.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.1,7.5,0.6,0.03,20.0,0.06,0.03,,13,180,22,78,230,70,1.2,0.05,2.0,0.02,25.0,2,13.333333333333334,40,0.1,4,0.3,0.002,0.08,0.16,0.38,6.5,1.0,0.3,6,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,64,36,1.0
مرغ و بوقلمون,ساق مرغ پخته,home,185,27.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,6.5,0.6,0.03,20.0,0.06,0.03,,12,170,22,80,230,70,1.1,0.05,2.0,0.02,25.0,2,10.0,30,0.1,4,0.3,0.002,0.07,0.16,0.35,5.5,1.0,0.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,65,35,1.0
مرغ و بوقلمون,سینه بوقلمون پخته,home,135,30.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,1.0,0.6,0.03,20.0,0.06,0.03,,12,220,28,55,250,70,1.1,0.05,1.5,0.02,25.0,2,0.0,0,0.1,4,0.3,0.002,0.04,0.15,0.5,6.5,1.0,0.4,5,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,68,32,1.2
مرغ و بوقلمون,سینه مرغ با پوست پخته,home,197,29.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,7.8,0.6,0.03,20.0,0.06,0.03,,14,210,26,70,240,70,1.0,0.05,1.1,0.02,25.0,2,16.666666666666668,50,0.1,4,0.3,0.002,0.07,0.12,0.55,12.0,1.0,0.3,4,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,62,38,1.0
مرغ و بوقلمون,سینه مرغ بدون پوست پخته,home,165,31.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,3.6,0.6,0.03,20.0,0.06,0.03,,15,228,29,74,256,70,1.0,0.05,1.0,0.02,25.0,2,7.0,21,0.1,4,0.3,0.002,0.07,0.11,0.6,13.7,1.0,0.3,4,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,65,35,1.0
مرغ و بوقلمون,قلب بوقلمون پخته,home,175,25.5,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,7.0,0.5,0.05,10.0,0.1,0.1,,11,210,23,70,230,80,5.5,0.4,2.8,0.3,40.0,10,8.333333333333334,25,0.2,8,0.5,0.003,0.14,0.85,0.33,6.0,1.5,6.5,10,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,65,35,1.1
مرغ و بوقلمون,کل مرغ با پوست پخته,home,239,27.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,13.5,0.6,0.03,20.0,0.06,0.03,,14,175,22,75,220,70,1.2,0.05,1.9,0.02,25.0,2,20.0,60,0.1,4,0.3,0.002,0.07,0.17,0.4,7.0,1.0,0.3,6,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,58,42,1.0
مرغ و بوقلمون,گردن مرغ پخته,home,185,24.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,9.0,0.6,0.03,20.0,0.06,0.03,,18,160,18,70,180,70,1.5,0.05,2.0,0.02,25.0,2,16.666666666666668,50,0.1,4,0.3,0.002,0.05,0.15,0.25,4.0,1.0,0.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,65,35,1.0
مرغ و بوقلمون,گوشت بوقلمون چرخ کرده پخته,home,189,27.0,1.9,0.96,1.64,0.86,1.26,2.33,2.64,1.23,2.2800000000000002,1.31,0.36,1.54,,0.03,8.5,0.6,0.03,20.0,0.06,0.03,,15,195,24,70,230,70,1.4,0.05,2.5,0.02,25.0,2,5.0,15,0.1,4,0.3,0.002,0.05,0.17,0.42,6.0,1.0,0.4,6,2,80,0.0,0.0,0.0,0.0,0.0,0.4,1.05,63,37,1.1
امعا و احشاء,جگر مرغ پخته,home,167,24.5,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,6.5,0.5,0.05,10.0,0.3,0.1,,10,400,20,70,250,80,9.0,5.0,3.0,0.3,40.0,10,4442.666666666667,13328,1.0,40,0.5,0.003,0.2,1.8,0.8,10.0,6.0,16.6,580,50,300,0.0,0.0,0.0,0.0,0.0,0.3,0.8,66,34,1.3
امعا و احشاء,جگر گاو پخته,home,191,29.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,5.3,0.5,0.05,10.0,0.3,0.1,,5,485,18,70,300,80,6.5,5.0,5.3,0.3,40.0,10,5632.666666666667,16898,1.0,40,0.5,0.003,0.19,2.76,1.0,17.5,6.0,70.7,253,50,300,0.0,0.0,0.0,0.0,0.0,0.3,0.8,62,38,1.5
امعا و احشاء,زبان گاو پخته,home,284,20.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,22.0,0.5,0.05,10.0,0.1,0.1,,8,160,15,70,180,80,2.5,0.4,3.0,0.3,40.0,10,0.0,0,0.2,8,0.5,0.003,0.05,0.25,0.2,3.5,1.5,2.0,5,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,56,44,1.0
امعا و احشاء,شیردان گاو پخته,home,150,22.0,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,6.5,0.1,0.05,2.0,0.02,0.0,,20,180,18,60,150,100,2.0,0.02,2.5,0.01,3.0,20,16.666666666666668,50,0.5,20,0.1,0.001,0.05,0.2,0.15,2.0,0.4,1.5,10,3,15,0.0,0.0,0.0,0.0,0.0,0.03,0.15,70,30,1.2
امعا و احشاء,طحال گاو پخته,home,145,25.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,4.0,0.5,0.05,10.0,0.1,0.1,,10,280,20,80,300,80,15.0,0.4,3.0,0.3,40.0,10,0.0,0,0.2,8,0.5,0.003,0.1,0.3,0.2,5.0,1.5,5.0,20,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,68,32,1.5
امعا و احشاء,قلب مرغ پخته,home,185,26.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,8.0,0.5,0.05,10.0,0.1,0.1,,10,220,22,75,240,80,6.0,0.4,3.0,0.3,40.0,10,10.0,30,0.2,8,0.5,0.003,0.15,0.9,0.35,6.5,1.5,7.0,12,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,64,36,1.1
امعا و احشاء,قلب گاو پخته,home,165,28.0,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,5.0,0.5,0.05,10.0,0.1,0.1,,8,250,25,80,280,80,5.0,0.4,2.5,0.3,40.0,10,6.666666666666667,20,0.2,8,0.5,0.003,0.2,1.0,0.4,7.0,1.5,8.0,10,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,65,35,1.2
امعا و احشاء,کلیه گاو پخته,home,158,26.5,1.5,0.7,1.1,0.6,0.8999999999999999,2.0,1.8,1.0,1.8,1.0,0.3,1.2,,0.05,4.5,0.5,0.05,10.0,0.1,0.1,,15,300,20,90,220,80,6.0,0.4,2.8,0.3,40.0,10,166.66666666666666,500,0.2,8,0.5,0.003,0.3,2.5,0.5,8.0,1.5,25.0,50,5,150,0.0,0.0,0.0,0.0,0.0,0.3,0.8,67,33,1.4
ماهی و دریایی,خرچنگ پخته,home,97,19.4,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,1.5,0.2,0.1,2.0,0.1,0.4,,91,234,49,395,259,100,0.7,0.1,3.8,0.03,40.0,15,10.0,30,2.0,80,1.0,0.001,0.04,0.04,0.15,2.7,1.0,6.7,44,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,77,23,1.8
ماهی و دریایی,ساردین کنسرو روغن آبکش,home,208,24.6,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.15,11.5,0.2,0.1,2.0,0.1,1.5,,382,490,39,307,397,100,2.9,0.1,1.3,0.03,40.0,15,36.0,108,10.0,400,1.0,0.001,0.08,0.23,0.17,5.2,1.0,8.9,10,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,60,40,3.4
ماهی و دریایی,سالمون اقیانوس اطلس پخته,home,208,22.1,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,12.4,0.2,0.1,2.0,0.1,1.5,,9,252,30,59,384,100,0.3,0.1,0.4,0.03,40.0,15,49.666666666666664,149,10.0,400,1.0,0.001,0.23,0.16,0.65,8.0,1.0,2.8,25,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,65,35,1.3
ماهی و دریایی,صدف پخته,home,80,12.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,2.0,0.2,0.1,2.0,0.1,0.4,,50,150,30,200,200,100,5.0,0.1,15.0,0.03,40.0,30,16.666666666666668,50,2.0,80,1.0,0.001,0.05,0.1,0.05,1.5,1.0,10.0,10,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,82,18,2.0
ماهی و دریایی,ماهی تن کنسرو آبکش,home,116,25.5,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.15,0.8,0.2,0.1,2.0,0.1,0.4,,10,220,30,40,250,100,1.0,0.1,0.6,0.03,40.0,15,16.666666666666668,50,2.0,80,1.0,0.001,0.04,0.1,0.4,10.0,1.0,2.5,5,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,72,28,1.4
ماهی و دریایی,ماهی تیلاپیا پخته,home,128,26.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,2.7,0.2,0.1,2.0,0.1,0.4,,14,200,30,55,380,100,0.6,0.1,0.4,0.03,40.0,15,0.0,0,2.0,80,1.0,0.001,0.05,0.07,0.2,4.0,1.0,1.5,15,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,70,30,1.1
ماهی و دریایی,ماهی سالمون دودی,home,180,25.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,8.0,0.2,0.1,2.0,0.1,1.5,,15,250,28,900,350,100,0.5,0.1,0.5,0.03,40.0,15,33.333333333333336,100,10.0,400,1.0,0.001,0.1,0.15,0.5,7.0,1.0,3.5,15,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,65,35,1.5
ماهی و دریایی,ماهی سفید کد پخته,home,82,17.8,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,0.7,0.2,0.1,2.0,0.1,0.4,,14,203,32,78,413,100,0.4,0.1,0.5,0.03,40.0,15,13.333333333333334,40,2.0,80,1.0,0.001,0.08,0.07,0.25,2.1,1.0,0.9,8,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,81,19,1.2
ماهی و دریایی,ماهی شوریده پخته,home,110,22.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,2.0,0.2,0.1,2.0,0.1,0.4,,20,200,28,60,350,100,0.5,0.1,0.5,0.03,40.0,15,13.333333333333334,40,2.0,80,1.0,0.001,0.06,0.08,0.25,3.0,1.0,1.2,8,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,75,25,1.2
ماهی و دریایی,ماهی شیر پخته,home,146,22.0,0.1,0.1,0.2,0.1,0.13,0.3,0.3,0.2,0.35,0.15,0.05,0.2,,0.0,6.0,0.1,0.05,2.0,0.02,0.0,,15,220,28,60,350,100,0.5,0.02,0.6,0.01,3.0,20,26.666666666666668,80,0.5,20,0.1,0.001,0.08,0.1,0.3,4.0,0.4,2.0,8,3,15,0.0,0.0,0.0,0.0,0.0,0.03,0.15,70,30,1.1
ماهی و دریایی,ماهی قزل آلا پخته,home,190,22.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,10.5,0.2,0.1,2.0,0.1,0.4,,30,250,28,50,400,100,0.5,0.1,0.6,0.03,40.0,15,33.333333333333336,100,2.0,80,1.0,0.001,0.15,0.12,0.4,6.0,1.0,3.0,15,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,66,34,1.2
ماهی و دریایی,ماهی ماکرل پخته,home,262,24.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,18.0,0.2,0.1,2.0,0.1,1.5,,12,240,35,80,350,100,1.5,0.1,0.8,0.03,40.0,15,66.66666666666667,200,10.0,400,1.0,0.001,0.15,0.3,0.4,8.0,1.0,10.0,10,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,56,44,1.3
ماهی و دریایی,ماهی هامور پخته,home,118,24.0,1.5,0.7,1.2,0.7,1.0,2.0,2.3,1.0,1.9,1.1,0.25,1.2,,0.08,1.5,0.2,0.1,2.0,0.1,0.4,,20,200,30,50,400,100,0.4,0.1,0.5,0.03,40.0,15,16.666666666666668,50,2.0,80,1.0,0.001,0.06,0.06,0.25,2.5,1.0,1.0,10,5,90,0.0,0.0,0.0,0.0,0.0,0.3,0.9,73,27,1.2
